id,image_slot,author,poem_title,category,mood,stanza,source,license
LS001,image_001,Percy Bysshe Shelley,,Love & Separation,Romantic,"But my heart has a music which Echo’s lips,
Though tender and true, yet can answer not,
And the shadow that moves in the soul’s eclipse                      _10
Can return not the kiss by his now forgot;
Sweet lips! he who hath
On my desolate path
Cast the darkness of absence, worse than death!",https://www.gutenberg.org/ebooks/4800,Public domain / CC0 dataset
LS002,image_002,William Wordsworth,,Love & Separation,Romantic,"His father said, that to a distant town
He must repair, to ply the artist’s trade.
What tears of bitter grief till then unknown!
What tender vows our last sad kiss delayed!
To him we turned:--we had no other aid.
Like one revived, upon his neck I wept,
And her whom he had loved in joy, he said
He well could love in grief: his faith he kept;
And in a quiet home once more my father slept.",https://www.gutenberg.org/ebooks/9622,Public domain / CC0 dataset
LS003,image_003,Percy Bysshe Shelley,,Love & Separation,Romantic,"2.
I can give not what men call love,
But wilt thou accept not                                             _10
The worship the heart lifts above
And the Heavens reject not,—
The desire of the moth for the star,
Of the night for the morrow,
The devotion to something afar                                       _15
From the sphere of our sorrow?",https://www.gutenberg.org/ebooks/4800,Public domain / CC0 dataset
LS004,image_004,Percy Bysshe Shelley,FRAGMENT: SUPPOSED TO BE AN EPITHALAMIUM OF FRANCIS RAVAILLAC,Love & Separation,Romantic,"FRANCIS:
‘Soft, my dearest angel, stay,
Oh! you suck my soul away;
Suck on, suck on, I glow, I glow!
Tides of maddening passion roll,                                     _85
And streams of rapture drown my soul.
Now give me one more billing kiss,
Let your lips now repeat the bliss,
Endless kisses steal my breath,
No life can equal such a death.’                                     _90",https://www.gutenberg.org/ebooks/4800,Public domain / CC0 dataset
LS005,image_005,Percy Bysshe Shelley,,Love & Separation,Romantic,"6.
She would have clasped me to her glowing frame;                      _4270
Those warm and odorous lips might soon have shed
On mine the fragrance and the invisible flame
Which now the cold winds stole;—she would have laid
Upon my languid heart her dearest head;
I might have heard her voice, tender and sweet;                      _4275
Her eyes, mingling with mine, might soon have fed
My soul with their own joy.—One moment yet
I gazed—we parted then, never again to meet!",https://www.gutenberg.org/ebooks/4800,Public domain / CC0 dataset
LS006,image_006,Percy Bysshe Shelley,FRAGMENT: SUPPOSED TO BE AN EPITHALAMIUM OF FRANCIS RAVAILLAC,Love & Separation,Romantic,"Yes, Francis! thine was the dear knife that tore
A tyrant’s heart-strings from his guilty breast,
Thine was the daring at a tyrant’s gore,
To smile in triumph, to contemn the rest;
And thine, loved glory of thy sex! to tear                           _55
From its base shrine a despot’s haughty soul,
To laugh at sorrow in secure despair,
To mock, with smiles, life’s lingering control,
And triumph mid the griefs that round thy fate did roll.",https://www.gutenberg.org/ebooks/4800,Public domain / CC0 dataset
LS007,image_007,Edgar Allan Poe,Kind solace in a dying hour!,Love & Separation,Romantic,"O, human love! thou spirit given,
On Earth, of all we hope in Heaven!
Which fall’st into the soul like rain
Upon the Siroc-withered plain,
And, failing in thy power to bless,
But leav’st the heart a wilderness!
Idea! which bindest life around
With music of so strange a sound
And beauty of so wild a birth—
Farewell! for I have won the Earth.",https://www.gutenberg.org/ebooks/76996,Public domain / CC0 dataset
LS008,image_008,William Blake,,Love & Separation,Romantic,"But he that loves the lowly, pours his oil upon my head
And kisses me, and binds his nuptial bands around my breast.
And says; Thou mother of my children, I have loved thee
And I have given thee a crown that none can take away.
But how this is sweet maid, I know not, and I cannot know
I ponder, and I cannot ponder; yet I live and love.",https://www.gutenberg.org/ebooks/574,Public domain / CC0 dataset
LS009,image_009,H. W. Longfellow,II,Love & Separation,Romantic,"""Who knows? perhaps I am forsaken!
Ah! woe is me! then bear me to my grave!
O God! what thoughts within me waken!
Away! he will return!  I do but rave!
He will return!  I need not fear!
He swore it by our Saviour dear;
He could not come at his own will;
Is weary, or perhaps is ill!
Perhaps his heart, in this disguise,
Prepares for me some sweet surprise!
But some one comes!  Though blind, my heart can see!
And that deceives me not! 't is he! 't is he!""",https://www.gutenberg.org/ebooks/1365,Public domain / CC0 dataset
LS010,image_010,Samuel Taylor Coleridge,,Love & Separation,Romantic,"How yon sweet Child my Bosom's grief beguiles
With soul-subduing Eloquence of smiles!
Ah lovely Babe! in thee myself I scan--
Thou weepest! sure those Tears proclaim thee Man!
And now some glitt'ring Toy arrests thine eye,
And to quick laughter turns the peevish cry.
Poor Stumbler on the rocky coast of Woe,
Tutor'd by Pain the source of Pain to know!
Alike the foodful Fruit and scorching Fire
Awake thy eager grasp and young desire;
Alike the Good, the Ill thy aching sight
Scare with the keen Emotions of Affright!",https://www.gutenberg.org/ebooks/29090,Public domain / CC0 dataset
LS011,image_011,Samuel Taylor Coleridge,Hast thou a charm to stay the morning-star,Love & Separation,Romantic,"Awake, my soul! not only passive praise
Thou owest! not alone these swelling tears,                         25
Mute thanks and secret ecstasy! Awake,
Voice of sweet song! Awake, my heart, awake!
Green vales and icy cliffs, all join my Hymn.",https://www.gutenberg.org/ebooks/29090,Public domain / CC0 dataset
LS012,image_012,Christina Rossetti,,Love & Separation,Romantic,"I wonder if the spring-tide of this year
Will bring another Spring both lost and dear;
If heart and spirit will find out their Spring,
Or if the world alone will bud and sing:
Sing, hope, to me!
Sweet notes, my hope, soft notes for memory.",https://www.gutenberg.org/ebooks/19188,Public domain / CC0 dataset
LS013,image_013,Christina Rossetti,,Love & Separation,Romantic,"I wonder if the springtide of this year
Will bring another Spring both lost and dear;
If heart and spirit will find out their Spring,
Or if the world alone will bud and sing:                           10
Sing, hope, to me;
Sweet notes, my hope, soft notes for memory.",https://www.gutenberg.org/ebooks/16950,Public domain / CC0 dataset
LS014,image_014,H. W. Longfellow,AT LA CHAUDEAU,Love & Separation,Romantic,"At La Chaudeau nor heart nor brain
Ever grows old with grief and pain;
A sweet remembrance keeps off age;
A tender friendship doth still assuage
The burden of sorrow that one may know
At La Chaudeau.",https://www.gutenberg.org/ebooks/1365,Public domain / CC0 dataset
